1.442995085970000e+01    IPM1S03 5.583932282419914e-11 -2.340094800602760e-12 -2.745377106396453e-05 -1.046952776922492e-05
1.465340085969996e+01        D12 5.531642864104640e-11 -2.340094800602760e-12 -2.979318704399751e-05 -1.046952776922492e-05
1.495340085969996e+01    MQN1S03 5.922038719947768e-11 2.874351125464289e-11 -3.037645576119183e-05 6.632950750946066e-06
1.554713232970007e+01        D13 7.628631438968145e-11 2.874351125464289e-11 -2.643826416139432e-05 6.632950750946066e-06
1.656048286930007e+01    MXI1S05 1.050652226273070e-10 2.087305566508378e-11 -1.946110322780320e-05 7.499504571449691e-06
1.693822970930008e+01        D14 1.129499534460531e-10 2.087305566508378e-11 -1.662818907437243e-05 7.499504571449691e-06
1.795158024890008e+01    MXI1S06 1.210227579296090e-10 2.783142778746890e-13 -9.158905731290948e-06 7.355743521193901e-06
1.860505024890006e+01        D15 1.212046279609595e-10 2.783142778746890e-13 -4.352148012496501e-06 7.355743521193901e-06
1.890505024890006e+01    MQN1S04 1.275795790155117e-10 4.259828108643996e-11 -1.967208009564683e-06 8.415602192871913e-06
1.979975024890006e+01        D16 1.656922611035529e-10 4.259828108643996e-11 5.562231272397817e-06 8.415602192871913e-06
1.979975024890006e+01    ITV1S04 1.656922611035529e-10 4.259828108643996e-11 5.562231272397817e-06 8.415602192871913e-06
2.038040024890011e+01        D17 1.904269530160832e-10 4.259828108643996e-11 1.044875068568930e-05 8.415602192871913e-06
2.038040024890011e+01    IPM1S05 1.904269530160832e-10 4.259828108643996e-11 1.044875068568930e-05 8.415602192871913e-06
2.068005024890008e+01        D18 2.031915279435137e-10 4.259828108643996e-11 1.297048588278305e-05 8.415602192871913e-06
2.083005024890008e+01    MQL1S05 2.033891703467168e-10 -3.997537799195391e-11 1.462831087759889e-05 1.379917503285795e-05
2.109880024890009e+01        D19 1.926457875115882e-10 -3.997537799195391e-11 1.833683916767962e-05 1.379917503285795e-05
2.109880024890009e+01   MBT1S05H 1.926457875115882e-10 -3.997537799195391e-11 1.833683916767962e-05 1.379917503285795e-05
2.129489024890011e+01        D20 1.848070156413217e-10 -3.997537799195391e-11 2.104271939987311e-05 1.379917503285795e-05
2.129489024890011e+01   MBT1S05V 1.848070156413217e-10 -3.997537799195391e-11 2.104271939987311e-05 1.379917503285795e-05
2.268005024890007e+01        D21 1.294347210615692e-10 -3.997537799195391e-11 4.015678468838607e-05 1.379917503285795e-05
2.283005024890007e+01    MQB1S06 1.260615151715426e-10 -5.155802500160190e-12 4.141690146929016e-05 2.947381544282240e-06
